Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours
MNERU WANITPA,-8.2525,29.7583,Northern Province,Mporokoso,Northern > Mporokoso,A Large Area Between Lakes Mweru Wanitpa And Tanganyika,Mporokoso,The south boundary is approximately 30 KM north of Mporokoso,Diamond,,,INACTIVE,UNKNOWN,DIAMOND OCCURRENCE,Mineralization: DIAMOND; Formation: THE AREA IS UNDERLAIN BY MPOROKOSO GROUP.,519.7303403,7.424719147
KASANGULA (KASONGOLE),-8.5,29.5833,Northern Province,Mporokoso,Northern > Mporokoso,Northwest Of Lake Mweru Vanitipa,Mporokoso,Near the north border of Zambia with Zaire,Diamond,,,INACTIVE,NIL,KIMBERLITE OCCURRENCE,NOT RESEARCHED,486.8584059,6.955120085
CHIMPATIKA (MUERU COPPER),-8.5,20.1667,Western Province,East Of Lake Mweru,Western > East Of Lake Mweru,East Of Lake Mweru,East Of Lake Mweru,18 KM north of Chiengi,Copper,,,INACTIVE,NIL,COPPER ASSOCIATED WITH KAROO FAULTING,Mineralization: COPPER.,952.0377744,13.60053963
NCHELENGE,-9.0025,28.7581,Northern Province,Mporokoso,Northern > Mporokoso,Borders On The Se Shore Of Lake Mweru,Mporokoso,The town of Nchelenge is in the centre of the area,Diamond,,,INACTIVE,NIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, SANDSTONE; Formation: BASEMENT GRANITE AND PORPHTRY ARE OVERLAIN UNCOMFORTABLY BY THE MPOROKOSO GROUP.",404.9402474,5.784860677
CHIBOTE (KANANAMPANGO),-9.8333,29.5833,Northern Province,Northern Province,Northern,51 Km East Of Kawambwa,Northern Province,250 KM NNE of Mansa,Iron,,,INACTIVE,AT LEAST 50 MILLION T @ 61% FE ACCORDING TO ANGLO AMERICAN,IRON FORMATION,Reserves: 50 MILLION T.,354.7914836,5.068449766
KALUNGUISHI,-0.5028,20.675,Western Province,The Kalunguishi River Dissects The Area,Western > The Kalunguishi River Dissects The Area,The Kalunguishi River Dissects The Area,The Kalunguishi River Dissects The Area,The centre of the area is 50 KM N Lumwana. A road connecting Chibote and Kalabue cuts nn corn,Diamond,,,INACTIVE,NIL,DIAMOND OCCURRENCE,"THE PL IS IN THE LUONGO FOLD BELT WITHIN THE BANGWEULU BLOCK. SEDIMENTS OF THE MPDROXOSO GROUP, MAINLY SANDSTONES, UNDERLIE THE ENTIRE AREA.",1554.170089,22.20242985
LUPANSA,-9.5833,30.1667,Northern Province,Northern Province,Northern,East Of The Kalunguishi Pl,Northern Province,25 KM south of Mporokoso,Diamond,,,UNKNOWN,TWO SMALL DIAMONDS WERE FOUND IN THE LUPANSA RIVER DURING PROSPECTING BY DE BEERS IN THE KALUNGUISHI PL (SEE).,IMACTIVE,NIL,414.1251469,5.916073527
CHOZI RIVER,-9.0025,31.6756,Northern Province,Northern Province,Northern,On The Chozi River Near The Tanzanian Border,Northern Province,Midway between Mbala and Nakonde,Diamond,,,INACTIVE,MILL,DIAMOND OCCURRENCE,Rock: Granite; Formation: Mporokoso Group,573.3337888,8.190482697
SENGA HILL,-0.35,31.2333,Southern Province,Headwaters Of Chambeshi River,Southern > Headwaters Of Chambeshi River,Headwaters Of Chambeshi River,Headwaters Of Chambeshi River,94 KM north of Kasama,Gold,Tin,Uranium,INACTIVE,UNKNOWN,GOLD PALEOPLACER,"Rock: Sandstone, Quartzite; Minerals: Gold; Formation: Mporokoso Group",1405.161685,20.07373836
MAFINGA,-9.9833,33.25,Eastern Province,Near Headwaters Of The Luangwa River,Eastern > Near Headwaters Of The Luangwa River,Near Headwaters Of The Luangwa River,Near Headwaters Of The Luangwa River,25 KM NE of Isoka on main road to Chitipa in Malawi,Diamond,,,INACTIVE,NIL,DIAMOND OCCURRENCE,Rock types: METASEDIMENT; Formation: IN THE SOUTHEAST ARE PROMINENT HILLS OF MAFINGI GROUP.,653.5480995,9.336401421
KAFINSA (CHITIRA),-10.1667,20.5,Western Province,South Of The Luongo River,Western > South Of The Luongo River,South Of The Luongo River,South Of The Luongo River,45 KM west of Lumwana,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, SANDSTONE, SHALE; Mineralization: DIAMOND; Formation: IS UNDERLAIN BY MPOROKOSO GROUP.",843.3256467,12.04750924
ISOKA,-10.0028,32.1756,Muchinga Province,Isoka,Muchinga > Isoka,South Of Isoka,Isoka,The town of Isoka falls is within the PL near its north edge,Diamond,,,INACTIVE,NIL,KIMBERLITE SHARN,Rock types: GRANITE; Mineralization: DIAMOND.,549.2180989,7.845972841
NKOMSUA HILL,10.1681,32.8333,Eastern Province,1500A District,Eastern > 1500A District,1500A District,1500A District,35 KM east of 1500a,Niobium,Phosphate,Copper,INACTIVE,"ALTHOUGH SAMPLES OF OVER 1% NB205 ARE REPORTED THE AVERAGE GRADE OF THE WHOLE CARBONATITE IS REPORTED BY WRIGHT TO BE 0.16% NB205. THIS IS A RESOURCE OF >700,000 T NB205. THE PYROCHLORE IS FINE GRAINED AND METALLURGICAL TESTS WERE UNABLE TO ACHIEVE ACCEPTABLE RECOVERIES. THERE ARE POCKETS OF RESIDUAL CONCENTRATIONS AND AREAS WHERE SELECTIVE MINING MIGHT ACHIEVE GRADES OF 0.3 TO 0.4% NB205.",CARBONATITE,Mineralization: COPPER.,2583.577794,36.9082542
MUTENBULA,-10.9667,32.0333,Muchinga Province,Muchinga Province,Muchinga,Kamangu Area,Muchinga Province,120 KM SW of 150ka,Manganese,,,INACTIVE,NONE,SEDIMENTARY MANGAWESE,"Rock types: QUARTZITE, SCHIST, METASEDIMENT; Mineralization: IRON.",487.579904,6.965427199
SITUE,-10.8333,33.25,Eastern Province,In Or Near The Situe River,Eastern > In Or Near The Situe River,In Or Near The Situe River,In Or Near The Situe River,45 KM north of Chama near the Malawi border,Diamond,,,UNKNOWN,UNKNOWN,RUMOURED ALLUVIAL DIAMOND OCCURRENCE,NOT RESEARCHED,617.6179189,8.823113127
NUJIMBEJ1 M22/A,11.9681,24.9167,Southern Province,Mwinilunga,Southern > Mwinilunga,5 Km East Of The Mwinilunga Miambu Road,5 Km East Of The Mwinilunga Miambu Road,58 KM ESE of Mwinilunga,Copper,Molybdenum,Nickel,INACTIVE,NIL,STRATIFORM COPPER-SUPERCENE ENRICHED,"Rock types: QUARTZITE, SCHIST, LIMESTONE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",2743.588845,39.19412636
LUAMATA,-11.9167,-24.4833,Western Province,Mwinilunga,Western > Mwinilunga,Sc-35-13 Mwinilunga,Sc-35-13 Mwinilunga,18 KM SSE of Mwinilunga,Copper,Cobalt,,INACTIVE,NONE,STRATIFORM COPPER ?,"Rock types: QUARTZITE, SHALE, CONGLOMERATE; Mineralization: COPPER, DIAMOND, IRON.",5678.006525,81.11437893
