Property_Name,Latitude,Longitude,District/Town,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,Province,District/Town_Original
NAMPUNDWE (KING EDWARD),-15.466666666666667,27.916666666666668,Lusaka,40 KM WSW OF LUSAKA,SULPHUR,COPPER,IRON,Mined by ZCCM,"Fully developed: 663,000 T @ 16.7% S; Undeveloped: 7.8M T @ 16.1% S [cite: 29-35].",STRATIFORM SULPHIDE-IRON,Marine pyrite-magnetite striking NW dipping steep SW. Cheta Formation.,326.25476865862936,4.6607824094089905,Lusaka,LUSAKA-SANJE AREA
DUNROBIN (LUIRI),-15.15,27.183333333333334,Mumbwa,27 KM SE OF MUMBWA,GOLD,COPPER,BISMUTH,Flooded/Percolation plant,"Tailings: 57,000 T @ ~0.95 g/t. Shoot: 2,300 T @ 2 g/t [cite: 96-97].",HYDROTHERMAL VEIN,Sheared western nose of Matala Dome anticline. Contact zone heavy tectonised [cite: 102-104].,299.7324988875804,4.281892841251149,Central,MUMBWA AREA
MATALA (MINE),-15.15,27.283333333333335,Mumbwa,29 KM SE OF MUMBWA,GOLD,None,None,Dewatering,"Slimes: 40,000T @ 2-3.3 g/t. Waste: 7,600T @ 9.83 g/t[cite: 213].",HYDROTHERMAL QUARTZ VEIN,Large dome capped by silicified breccia 'dyke'. Quartz-tourmaline vein [cite: 233-235].,297.3251020298595,4.247501457569422,Central,MUMBWA AREA
ACE (MATALA GROUP),-15.15,27.283333333333335,2 Km West Of Matala,29 KM SE OF MUMBWA,GOLD,None,None,INACTIVE,Avg surface value 4.5 g/t Au [cite: 201].,VEIN,"Quartz-iron-carbonate vein, 0.4m thick, traceable 500m[cite: 201].",297.3251020298595,4.247501457569422,Unknown,2 KM WEST OF MATALA
KATUAMENDA (MATALA GROUP),-15.15,27.283333333333335,10 Km Ese Of Matala,29 KM SE OF MUMBWA,GOLD,None,None,INACTIVE,Avg value 8.32 g/t (26 assays)[cite: 203].,VEIN,"370m long vein, 0.25m thick. Quartz/siderite/iron oxides[cite: 202].",297.3251020298595,4.247501457569422,Unknown,10 KM ESE OF MATALA
RHINO (MATALA GROUP),-15.15,27.283333333333335,Matala Area,29 KM SE OF MUMBWA,GOLD,None,None,INACTIVE,94m section avg 5.9 g/t over 0.6m [cite: 205].,VEIN,"Highly ferruginous NNE vein, 490m long[cite: 204].",297.3251020298595,4.247501457569422,Unknown,MATALA AREA
NAMABULA (MATALA GROUP),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,Avg 2.6 g/t[cite: 205].,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
SHADURECK (MATALA GROUP),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,Avg 3.11 g/t[cite: 205].,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
JACK AND RODE (MATALA GROUP),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,Avg 3.3 g/t[cite: 206].,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
ECLIPSE (MATALA GROUP),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,Avg 2.09 g/t[cite: 206].,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
EVA (MATALA GROUP),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,Avg 1.47 g/t[cite: 206].,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
ROB ROY (MATALA GROUP),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,Avg 1.2 g/t[cite: 206].,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
SHADDOCK (MATALA GROUP),-15.15,27.283333333333335,Luiri Area,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala/Luiri area.,297.3251020298595,4.247501457569422,Unknown,LUIRI AREA
CHIBABA (MATALA GROUP),-15.15,27.283333333333335,Luiri Area,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala/Luiri area.,297.3251020298595,4.247501457569422,Unknown,LUIRI AREA
TANDUMA (MATALA GROUP),-15.15,27.283333333333335,Luiri Area,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala/Luiri area.,297.3251020298595,4.247501457569422,Unknown,LUIRI AREA
JEWSUSS (MO 219),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
CHIBOLELA (MO 220),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
CHIKWASHIA (MO 216-218),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
MARIE (MO 232/233),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
LEWIS (MO 196),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
SHIWEZA (MO 204),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
CHISAKA (MO 207),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
NAGASAKA (MO 208),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
MAGUYUNT (MO 210),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
HENRY AREA (MO 211),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
MIBOROMA (MO 223),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
SHANGARA (MO 215),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
SHIMWAMBWA (MO 213),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
SANKAMANDA (MO 222),-15.15,27.283333333333335,Within 20 Km Radius Of Matala,nan,GOLD,None,None,INACTIVE,nan,nan,Part of Matala group.,297.3251020298595,4.247501457569422,Unknown,WITHIN 20 KM RADIUS OF MATALA
NAMANTOMBWA,-15.416666666666666,27.366666666666667,Blue Lagoon Game Reserve,100 KM WEST OF LUSAKA,IRON,None,None,INACTIVE,8.7M to 12.5M T @ 55-58% Fe.,REPLACEMENT IRON,Replacement of folded limestone with gabbro/syenite intrusions[cite: 158].,324.82881180921066,4.640411597274438,Unknown,BLUE LAGOON GAME RESERVE
NGAIBWE (NAGAIBWA),-15.416666666666666,27.366666666666667,20 Km E Of Kapanda,100 KM WEST OF LUSAKA,IRON,None,None,INACTIVE,30 Million T @ 45-60% Fe.,BANDED IRON FORMATION,Hill of BIF projecting above Kafue Flats. Higher metamorphic grade than Pamba[cite: 157].,324.82881180921066,4.640411597274438,Unknown,20 KM E OF KAPANDA
BLUE LAGOON (IRON),-15.416666666666666,27.366666666666667,10 Km E Of Kapanda,100 KM WEST OF LUSAKA,IRON,None,None,INACTIVE,nan,SEDIMENTARY IRON FORMATION,"Small tabular sedimentary iron formation, banded hematite/magnetite[cite: 160].",324.82881180921066,4.640411597274438,Unknown,10 KM E OF KAPANDA
NEMESHA (MEMENCHA),-15.416666666666666,27.366666666666667,6 Km S Of Kapanda,100 KM WEST OF LUSAKA,IRON,None,None,INACTIVE,nan,SKARN,Small tabular skarn with Kundelungu marble/syenite. Martitized magnetite[cite: 161].,324.82881180921066,4.640411597274438,Unknown,6 KM S OF KAPANDA
KAPANDA,-15.416666666666666,27.366666666666667,Namantombwa Group Area,100 KM WEST OF LUSAKA,IRON,None,None,INACTIVE,nan,nan,Reference location for Ngaibwe/Blue Lagoon [cite: 157-161].,324.82881180921066,4.640411597274438,Unknown,NAMANTOMBWA GROUP AREA
CHANDETE (CHANOBIE),-15.133333333333333,27.116666666666667,Central Region,25 KM SOUTH OF MUMBWA,COPPER,SILVER,None,INACTIVE,"Est 15,000 T @ 1.5% Cu (North) [cite: 287].",BRECCIA ZONE,Malachite/pseudo-malachite in brecciated dolomitic rock[cite: 293].,299.7544696653696,4.28220670950528,Unknown,CENTRAL REGION
MUTOMBE,-15.25,27.75,Mwembeshi River,8 KM SW OF PAMBA,IRON,None,None,INACTIVE,10 Million T @ 30-40% Fe [cite: 335].,SEDIMENTARY IRON FORMATION,"Ferruginous quartzite similar to Pamba, striking E, dipping N[cite: 353].",302.27600729462574,4.318228675637511,Unknown,MWEMBESHI RIVER
PAMBA,-15.25,27.75,Mwembeshi River,48 KM WEST OF LUSAKA,IRON,None,None,INACTIVE,21 Million T @ 49.2% Fe or 10-20M T @ 51% Fe [cite: 335-336].,SEDIMENTARY IRON FORMATION,Ferruginous quartzite in seven kopjes. Magnetite/martite [cite: 347-350].,302.27600729462574,4.318228675637511,Unknown,MWEMBESHI RIVER
