Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Mneru Wanitpa,-8.2525,29.7583,Northern Province,Mporokoso,Northern Province > Mporokoso,A Large Area Between Lakes Mweru Wanitpa And Tanganyika,Mporokoso,The south boundary is approximately 30 KM north of Mporokoso,Diamond,,,Active,UNKNOWN,DIAMOND OCCURRENCE,Mineralization: DIAMOND; Formation: THE AREA IS UNDERLAIN BY MPOROKOSO GROUP.,519.7303403,7.424719147,
Kasangula (Kasongole),-8.5,29.5833,Northern Province,Mporokoso,Northern Province > Mporokoso,Northwest Of Lake Mweru Vanitipa,Mporokoso,Near the north border of Zambia with Zaire,Diamond,,,Active,NIL,KIMBERLITE OCCURRENCE,NOT RESEARCHED,486.8584059,6.955120085,
Nchelenge,-9.0025,28.7581,Northern Province,Mporokoso,Northern Province > Mporokoso,Borders On The Se Shore Of Lake Mweru,Mporokoso,The town of Nchelenge is in the centre of the area,Diamond,,,Active,NIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, SANDSTONE; Formation: BASEMENT GRANITE AND PORPHTRY ARE OVERLAIN UNCOMFORTABLY BY THE MPOROKOSO GROUP.",404.9402474,5.784860677,
Chibote (Kananampango),-9.8333,29.5833,Northern Province,Mporokoso,Northern Province > Mporokoso,51 Km East Of Kawambwa,Mporokoso,250 KM NNE of Mansa,Iron,,,Active,AT LEAST 50 MILLION T @ 61% FE ACCORDING TO ANGLO AMERICAN,IRON FORMATION,Reserves: 50 MILLION T.,354.7914836,5.068449766,
Lupansa,-9.5833,30.1667,Northern Province,Mporokoso,Northern Province > Mporokoso,East Of The Kalunguishi Pl,Mporokoso,25 KM south of Mporokoso,Diamond,,,Unknown,TWO SMALL DIAMONDS WERE FOUND IN THE LUPANSA RIVER DURING PROSPECTING BY DE BEERS IN THE KALUNGUISHI PL (SEE).,IMACTIVE,NIL,414.1251469,5.916073527,
Chozi River,-9.0025,31.6756,Northern Province,Mporokoso,Northern Province > Mporokoso,On The Chozi River Near The Tanzanian Border,Mporokoso,Midway between Mbala and Nakonde,Diamond,,,Active,MILL,DIAMOND OCCURRENCE,Rock: Granite; Formation: Mporokoso Group,573.3337888,8.190482697,
Mafinga,-9.9833,33.25,Eastern Province,Near Headwaters Of The Luangwa River,Eastern Province > Near Headwaters Of The Luangwa River,Near Headwaters Of The Luangwa River,Near Headwaters Of The Luangwa River,25 KM NE of Isoka on main road to Chitipa in Malawi,Diamond,,,Active,NIL,DIAMOND OCCURRENCE,Rock types: METASEDIMENT; Formation: IN THE SOUTHEAST ARE PROMINENT HILLS OF MAFINGI GROUP.,653.5480995,9.336401421,
Isoka,-10.0028,32.1756,Muchinga Province,Isoka,Muchinga Province > Isoka,South Of Isoka,Isoka,The town of Isoka falls is within the PL near its north edge,Diamond,,,Active,NIL,KIMBERLITE SHARN,Rock types: GRANITE; Mineralization: DIAMOND.,549.2180989,7.845972841,
Mutenbula,-10.9667,32.0333,Muchinga Province,Isoka,Muchinga Province > Isoka,Kamangu Area,Isoka,120 KM SW of 150ka,Manganese,,,Active,NONE,SEDIMENTARY MANGAWESE,"Rock types: QUARTZITE, SCHIST, METASEDIMENT; Mineralization: IRON.",487.579904,6.965427199,
Situe,-10.8333,33.25,Eastern Province,In Or Near The Situe River,Eastern Province > In Or Near The Situe River,In Or Near The Situe River,In Or Near The Situe River,45 KM north of Chama near the Malawi border,Diamond,,,Unknown,UNKNOWN,RUMOURED ALLUVIAL DIAMOND OCCURRENCE,NOT RESEARCHED,617.6179189,8.823113127,
